trace_id,loss,accuracy
7,0.02830692008137703,0.9979338645935059
8,0.040247272700071335,0.9981921315193176
9,0.03453684598207474,0.9979338645935059
10,0.033581286668777466,0.9981921315193176
11,0.039748601615428925,0.9979338645935059
12,0.04074975103139877,0.9987086653709412
13,0.029577096924185753,0.9976755976676941
14,0.0384376235306263,0.9981921315193176
15,0.028763599693775177,0.9987086653709412
16,0.03474938124418259,0.9984503984451294
1,0.033529799431562424,0.9981921315193176
7,0.02564183808863163,0.9987086653709412
8,0.035667214542627335,0.9989669322967529
9,0.03972788527607918,0.9981921315193176
10,0.03614422678947449,0.9981921315193176
11,0.03635915741324425,0.9981921315193176
12,0.0369529165327549,0.9989669322967529
13,0.03495814651250839,0.9989669322967529
14,0.03671412169933319,0.9981921315193176
15,0.02913673408329487,0.9979338645935059
16,0.03784161061048508,0.9989669322967529
1,0.033937592059373856,0.9984503984451294
7,0.16184867918491364,0.9917355179786682
8,0.03805054351687431,0.9989669322967529
9,0.03824475035071373,0.9981921315193176
10,0.036007869988679886,0.9981921315193176
11,0.036172837018966675,0.9981921315193176
12,0.03860250487923622,0.9989669322967529
13,0.03694714233279228,0.9989669322967529
14,0.036585114896297455,0.9984503984451294
15,0.026843804866075516,0.9979338645935059
16,0.03899885341525078,0.9989669322967529
1,0.04418472200632095,0.9966425895690918
7,0.02307971380650997,0.9989669322967529
8,0.02606392651796341,0.9987086653709412
9,0.037504058331251144,0.9987086653709412
10,0.030478132888674736,0.9979338645935059
11,0.04195769876241684,0.9976755976676941
12,0.031290169805288315,0.9989669322967529
13,0.03169206157326698,0.9981921315193176
14,0.03836062550544739,0.9989669322967529
15,0.03172200918197632,0.9987086653709412
16,0.038351207971572876,0.9989669322967529
1,0.0304842758923769,0.9987086653709412
7,0.027149895206093788,0.9992251992225647
8,0.03274497389793396,0.9989669322967529
9,0.03491669148206711,0.9989669322967529
10,0.03149876743555069,0.9987086653709412
11,0.03200621157884598,0.9987086653709412
12,0.02940494567155838,0.9989669322967529
13,0.032319970428943634,0.9989669322967529
14,0.0321166031062603,0.9987086653709412
15,0.027969373390078545,0.9989669322967529
16,0.03578725829720497,0.9989669322967529
1,0.031050989404320717,0.9989669322967529
7,0.026652740314602852,0.9992251992225647
8,0.033510368317365646,0.9989669322967529
9,0.03384408354759216,0.9989669322967529
10,0.03219957277178764,0.9989669322967529
11,0.032188404351472855,0.9989669322967529
12,0.03337084501981735,0.9989669322967529
13,0.033711519092321396,0.9989669322967529
14,0.032476987689733505,0.9989669322967529
15,0.028192216530442238,0.9992251992225647
16,0.035682860761880875,0.9989669322967529
1,0.031071443110704422,0.9989669322967529
7,0.029268505051732063,0.9992251992225647
8,0.033123064786195755,0.9989669322967529
9,0.03324684500694275,0.9989669322967529
10,0.03195225074887276,0.9989669322967529
11,0.03191981092095375,0.9989669322967529
12,0.033029522746801376,0.9989669322967529
13,0.03320308402180672,0.9989669322967529
14,0.0322306789457798,0.9989669322967529
15,0.06743250042200089,0.9943181872367859
16,0.03551650419831276,0.9989669322967529
1,0.03151325881481171,0.9989669322967529
7,0.029819341376423836,0.9992251992225647
8,0.033016521483659744,0.9989669322967529
9,0.03313076123595238,0.9989669322967529
10,0.032190244644880295,0.9989669322967529
11,0.03217067942023277,0.9989669322967529
12,0.033075328916311264,0.9989669322967529
13,0.03321210294961929,0.9989669322967529
14,0.032388292253017426,0.9989669322967529
15,0.030940469354391098,0.9987086653709412
16,0.035053592175245285,0.9989669322967529
1,0.03203656151890755,0.9989669322967529
